player_height,player_weight,gp,pts,ast,net_rating,dreb_pct,ast_*_oreb_pct,net_rating_*_dreb_pct,pts_*_net_rating,ast_*_dreb_pct,age,age_^2,reb,reb_^2,reb_^3,reb_*_dreb_pct,reb_*_dreb_pct_^2,reb_*_dreb_pct_^3,reb_*_dreb_pct_^4,gp_*_oreb_pct,gp_*_oreb_pct_^2,oreb_pct,oreb_pct_^2,oreb_pct_^3,oreb_pct_^4,reb_*_usg_pct,reb_*_usg_pct_^2,reb_*_usg_pct_^3,reb_*_usg_pct_^4,pts_*_dreb_pct,pts_*_dreb_pct_^2,oreb_pct_*_usg_pct,oreb_pct_*_usg_pct_^2,oreb_pct_*_usg_pct_^3,oreb_pct_*_usg_pct_^4,usg_pct,usg_pct_^2,net_rating_*_oreb_pct,net_rating_*_oreb_pct_^2
205.74,83.91452,79,5.8,1.4,-9.3,0.138,0.0686,-1.2834,-53.940000000000005,0.1932,22.0,484.0,3.7,13.690000000000001,50.653000000000006,0.5106,0.26071236000000003,0.13311973101600003,0.06797093465676962,3.871,14.984641,0.049,0.0024010000000000004,0.00011764900000000003,5.764801000000001e-06,0.5772,0.33315984000000004,0.19229985964800003,0.11099547898882563,0.8004,0.64064016,0.007644000000000001,5.843073600000001e-05,4.466445459840001e-07,3.414150909501697e-09,0.156,0.024336,-0.45570000000000005,0.20766249000000003
203.2,100.697424,64,3.7,0.6,-8.7,0.149,0.036,-1.2962999999999998,-32.19,0.0894,24.0,576.0,2.3,5.289999999999999,12.166999999999996,0.34269999999999995,0.11744328999999996,0.04024781548299998,0.013792926366024092,3.84,14.7456,0.06,0.0036,0.000216,1.296e-05,0.38409999999999994,0.14753280999999996,0.056667352320999974,0.021765930026496086,0.5513,0.30393169000000003,0.01002,0.00010040039999999999,1.006012008e-06,1.0080240320159998e-08,0.16699999999999998,0.027888999999999994,-0.5219999999999999,0.2724839999999999
198.12,99.79024,68,7.8,1.7,-3.1,0.07,0.0408,-0.21700000000000003,-24.18,0.11900000000000001,30.0,900.0,2.2,4.840000000000001,10.648000000000003,0.15400000000000003,0.023716000000000008,0.003652264000000002,0.0005624486560000004,1.6320000000000001,2.6634240000000005,0.024,0.000576,1.3824e-05,3.31776e-07,0.31460000000000005,0.09897316000000003,0.031136956136000014,0.009795686400385606,0.546,0.29811600000000005,0.0034320000000000006,1.1778624000000003e-05,4.0424237568000017e-08,1.3873598333337609e-10,0.14300000000000002,0.020449000000000005,-0.07440000000000001,0.005535360000000001
190.5,90.7184,82,9.4,3.7,6.3,0.064,0.037000000000000005,0.4032,59.22,0.2368,25.0,625.0,2.0,4.0,8.0,0.128,0.016384,0.002097152,0.00026843545600000005,0.8200000000000001,0.6724000000000001,0.01,0.0001,1.0000000000000002e-06,1.0000000000000002e-08,0.294,0.08643599999999999,0.025412183999999994,0.007471182095999998,0.6016,0.36192256,0.00147,2.1609e-06,3.176523e-09,4.6694888099999995e-12,0.147,0.021608999999999996,0.063,0.003969
210.82,111.13004,82,7.1,0.9,-5.9,0.294,0.09269999999999999,-1.7346,-41.89,0.2646,29.0,841.0,11.1,123.21,1367.6309999999999,3.2634,10.649779559999999,34.75449061610399,113.41780467659376,8.446,71.33491599999999,0.103,0.010608999999999999,0.0010927269999999997,0.00011255088099999996,1.2654,1.6012371600000002,2.026205502264,2.563960442564866,2.0873999999999997,4.357238759999999,0.011741999999999999,0.00013787456399999998,1.6189231304879997e-06,1.900939539819009e-08,0.114,0.012996,-0.6077,0.36929929
193.04,90.7184,72,12.3,3.2,-8.1,0.094,0.064,-0.7614,-99.63,0.3008,30.0,900.0,2.9,8.41,24.389,0.2726,0.07431076,0.020257113176000003,0.005522089051777601,1.44,2.0736,0.02,0.0004,8.000000000000001e-06,1.6000000000000003e-07,0.5568,0.31002623999999995,0.17262261043199997,0.09611626948853758,1.1562000000000001,1.3367984400000004,0.00384,1.47456e-05,5.6623104000000004e-08,2.1743271936000003e-10,0.192,0.036864,-0.162,0.026244
190.5,90.7184,7,1.1,0.3,-20.7,0.075,0.0189,-1.5525,-22.77,0.0225,23.0,529.0,0.7,0.48999999999999994,0.3429999999999999,0.0525,0.0027562499999999996,0.00014470312499999997,7.596914062499998e-06,0.441,0.19448100000000001,0.063,0.003969,0.00025004700000000004,1.5752961000000003e-05,0.1316,0.01731856,0.002279122496,0.00029993252047359997,0.0825,0.006806250000000001,0.011844,0.00014028033600000002,1.6614802995840003e-06,1.96785726682729e-08,0.188,0.035344,-1.3041,1.70067681
182.88,81.64656,1,0.0,1.0,-10.1,0.0,0.0,-0.0,-0.0,0.0,23.0,529.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14300000000000002,0.020449000000000005,-0.0,0.0
215.9,117.93392,81,12.6,3.7,5.4,0.197,0.39590000000000003,1.0638,68.04,0.7289000000000001,29.0,841.0,9.0,81.0,729.0,1.7730000000000001,3.1435290000000005,5.573476917000002,9.881774573841003,8.667,75.116889,0.107,0.011448999999999999,0.0012250429999999999,0.000131079601,1.746,3.048516,5.322708936,9.293449802256,2.4822,6.161316840000001,0.020758,0.00043089456399999994,8.944509359511998e-06,1.8567012528475003e-07,0.194,0.037636,0.5778,0.33385284
187.96,91.625584,37,3.0,1.9,-6.3,0.09,0.0646,-0.567,-18.9,0.17099999999999999,22.0,484.0,1.1,1.2100000000000002,1.3310000000000004,0.099,0.009801,0.0009702990000000001,9.605960100000002e-05,1.258,1.582564,0.034,0.0011560000000000001,3.930400000000001e-05,1.3363360000000004e-06,0.18480000000000002,0.03415104000000001,0.006311112192000002,0.0011662935330816005,0.27,0.0729,0.005712000000000001,3.262694400000001e-05,1.863651041280001e-07,1.0645174747791368e-09,0.168,0.028224000000000003,-0.2142,0.04588164
